Date,Close/Last,Volume,Open,High,Low
08/27/2020,23225,6560,23310,23350,23145
08/26/2020,23290,6459,23305,23345,23155
08/25/2020,23305,7427,23135,23430,23135
08/24/2020,23180,7189,22925,23180,22845
08/21/2020,22900,6853,23015,23140,22710
08/20/2020,22980,4334,23100,23100,22845
08/19/2020,23125,3537,23095,23205,22955
08/18/2020,23075,4318,23135,23170,22940
08/17/2020,23165,3536,23170,23250,23065
08/14/2020,23155,4554,23220,23355,23065
08/13/2020,23210,4480,23240,23315,23145
08/12/2020,23205,7624,22740,23255,22670
08/11/2020,22700,5511,22535,22960,22475
08/10/2020,22515,3629,22440,22540,22345
08/07/2020,22450,3988,22435,22485,22205
08/06/2020,22430,4115,22510,22585,22270
08/05/2020,22490,3804,22505,22640,22355
08/04/2020,22520,5717,22415,22655,22380
08/03/2020,22405,6935,21955,22415,21895
07/31/2020,21940,9446,22305,22350,21705
07/30/2020,22250,8073,22550,22565,21970
07/29/2020,22550,4068,22540,22570,22365
07/28/2020,22535,4752,22685,22840,22510
07/27/2020,22690,5908,22380,22740,22350
07/24/2020,22355,5699,22575,22645,22275
07/23/2020,22560,5614,22795,22910,22495
07/22/2020,22785,4500,22755,22855,22655
07/21/2020,22745,4962,22805,22955,22730
07/20/2020,22820,4596,22685,22835,22580
07/17/2020,22710,5465,22785,22865,22640
07/16/2020,22765,4323,22980,22980,22680
07/15/2020,22920,5157,22845,23045,22815
07/14/2020,22730,7302,22665,22765,22660
07/13/2020,22570,6039,22605,22885,22535
07/10/2020,22630,6538,22430,22645,22260
07/09/2020,22410,8527,22550,22700,22300
07/08/2020,22530,5410,22485,22670,22360
07/07/2020,22455,5132,22700,22745,22440
07/06/2020,22680,5329,22270,22790,22260
07/02/2020,22360,6157,22240,22470,22090
07/01/2020,22240,8109,22370,22420,22000
06/30/2020,22340,6462,22385,22410,22265
06/29/2020,22385,6896,22135,22420,21985
06/26/2020,22300,5615,22500,22580,22250
06/25/2020,22500,9394,22285,22545,22065
06/24/2020,22285,7447,22565,22660,22100
06/23/2020,22570,9466,22615,22825,22245
06/22/2020,22610,5625,22265,22635,22170
06/19/2020,22350,6568,22425,22725,22325
06/18/2020,22420,6465,22490,22545,22120
06/17/2020,22525,6417,22410,22775,22255
06/16/2020,22415,8268,21995,22630,21995
06/15/2020,21990,12147,22065,22270,21405
06/12/2020,22240,9414,21785,22510,21730
06/11/2020,21725,11512,22895,22955,21645
06/10/2020,22870,6888,22885,23170,22750
06/09/2020,22895,10034,23220,23230,22710
06/08/2020,23220,11888,23155,23275,22965
06/05/2020,23145,12805,22750,23310,22575
06/04/2020,22735,8213,22910,23000,22505
06/03/2020,22925,7836,22635,22965,22475
06/02/2020,22655,6788,22195,22710,22120
06/01/2020,22230,5708,21940,22245,21750
05/29/2020,21955,8769,21915,22045,21665
05/28/2020,21920,9314,21680,22110,21590
05/27/2020,21655,7932,21285,21730,21150
05/26/2020,21290,11143,20970,21370,20570
05/22/2020,20565,4455,20485,20625,20245
05/21/2020,20475,4068,20755,20775,20465
05/20/2020,20740,4963,20405,20830,20365
05/19/2020,20415,5167,20650,20705,20385
05/18/2020,20665,5867,20060,20705,20020
05/15/2020,20045,4101,20105,20205,19850
05/14/2020,20090,5033,20190,20255,19635
05/13/2020,20190,5380,20105,20435,20065
05/12/2020,20175,3411,20525,20560,20090
05/11/2020,20530,4622,20220,20645,20185
05/08/2020,20250,4403,19820,20280,19805
05/07/2020,19815,6739,19405,19870,19310
05/06/2020,19395,2099,19580,19775,19390
05/05/2020,19580,3222,19445,19780,19405
05/04/2020,19425,3299,19440,19455,19100
05/01/2020,19545,5648,20000,20005,19480
04/30/2020,20035,7084,20475,20500,19860
04/29/2020,20455,3051,20000,20560,19955
04/28/2020,20025,5356,19835,20200,19685
04/27/2020,19850,4932,19510,19890,19405
04/24/2020,19495,3366,19385,19525,19215
04/23/2020,19425,5235,19345,19725,19265
04/22/2020,19345,4228,19160,19410,18910
04/21/2020,19110,6025,19445,19595,19055
04/20/2020,19395,4723,19685,19855,19385
04/17/2020,19690,7261,19690,20010,19465
04/16/2020,19310,5841,19390,19525,19095
04/15/2020,19405,5529,19645,19730,19265
04/14/2020,19625,6594,19260,19825,19215
04/13/2020,19230,4481,19750,19750,19075
04/09/2020,19600,6325,19300,19760,19250
04/08/2020,19300,8766,19115,19595,18860
04/07/2020,19120,10651,19085,20030,18680
04/06/2020,19070,7448,17890,19125,17840
04/03/2020,17865,3935,18305,18310,17760
04/02/2020,18280,7522,17805,18335,17725
04/01/2020,17805,5237,18860,18980,17780
03/31/2020,18865,7806,19405,19600,18750
03/30/2020,19335,7657,18565,19405,18465
03/27/2020,18880,5640,19450,19575,18840
03/26/2020,19475,7906,19425,19525,18680
03/25/2020,19410,7968,19475,19750,18840
03/24/2020,19435,7075,17860,19460,17825
03/23/2020,17765,8450,17060,18220,15600
03/20/2020,17365,6403,17330,18220,17160
03/19/2020,17400,22789,16620,17800,16275
03/18/2020,16735,15084,17370,17520,16205
03/17/2020,17330,14644,16510,17570,16400
03/16/2020,16465,16239,18240,18240,16060
03/13/2020,18220,10020,17085,18610,16780
03/12/2020,17060,7946,19135,19350,16870
03/11/2020,19160,19093,19965,19985,18935
03/10/2020,19980,34438,18860,20190,18605
03/09/2020,18890,35609,20150,20150,18520
03/06/2020,20440,30230,20825,21065,20215
03/05/2020,20795,16150,21255,21380,20745
03/04/2020,21395,20275,20875,21445,20800
03/03/2020,20890,34381,21525,21740,20690
03/02/2020,21435,43336,20715,21610,20520
02/28/2020,21030,51214,21205,21460,20475
02/27/2020,21230,47837,22040,22135,21185
02/26/2020,22220,40257,22110,22260,22165
02/25/2020,22080,35807,22050,22170,21900
02/24/2020,22175,20843,22140,22315,22135
02/21/2020,23195,14944,23495,23580,23100
02/20/2020,23530,16164,23595,23800,23330
02/19/2020,23590,11033,23205,23670,23205
02/18/2020,23200,14442,23450,23625,23090
02/14/2020,23540,7442,23720,23770,23470
02/13/2020,23720,10623,23965,23975,23560
02/12/2020,23955,7022,23910,23980,23720
02/11/2020,23895,4419,23700,24020,23685
02/10/2020,23700,7315,23680,23810,23535
02/07/2020,23680,8833,23975,24030,23670
02/06/2020,23960,8561,23725,23990,23645
02/05/2020,23695,11362,23365,23715,23225
02/04/2020,23380,10333,22860,23415,22820
02/03/2020,22875,11774,22645,23020,22640
01/31/2020,22730,18114,23200,23410,22630
01/30/2020,23210,16671,23245,23295,22835
01/29/2020,23250,8110,23370,23410,23200
01/28/2020,23360,11372,23065,23400,23015
01/27/2020,23050,15740,23395,23455,23045
01/24/2020,23655,9497,23600,23675,23560
01/23/2020,23810,9534,23820,23900,23615
01/22/2020,23850,7222,23795,24035,23775
01/21/2020,23770,14048,24055,24095,23760
01/17/2020,24050,4516,24085,24135,24005
01/16/2020,24065,4624,23965,24090,23895
01/15/2020,23955,5506,23995,24000,23865
01/14/2020,24000,7859,23950,24045,23855
01/13/2020,23955,6242,23720,23975,23710
01/10/2020,23695,5315,23760,23895,23660
01/09/2020,23770,5001,23505,23800,23470
01/08/2020,23540,18677,23555,23570,23475
01/07/2020,23375,9216,23315,23570,23275
01/06/2020,23345,10566,23215,23365,23055
01/03/2020,23315,10253,23700,23800,23170
01/02/2020,23710,6562,23465,23790,23450
12/31/2019,23455,2895,23445,23485,23320
12/30/2019,23430,5257,23830,23830,23415
12/27/2019,23795,3829,23910,23960,23770
12/26/2019,23955,2050,23770,23960,23725
12/24/2019,23780,1132,23825,23830,23755
12/23/2019,23825,3117,23845,23895,23760
12/20/2019,23830,5520,23830,23875,23710
12/19/2019,23815,3866,23905,23915,23765
12/18/2019,23900,4175,24025,24025,23840
12/17/2019,24035,6976,24120,24120,23960
12/16/2019,24105,7236,23960,24140,23920
12/13/2019,23940,20104,23815,24075,23770
12/12/2019,23770,5698,23765,23795,23710
12/11/2019,23445,9192,23445,23470,23435
12/10/2019,23450,13771,23355,23485,23265
12/09/2019,23375,18670,23550,23560,23350
12/06/2019,23530,6664,23315,23565,23305
12/05/2019,23330,8343,23340,23445,23250
